Country	[Aff_id_parent]	Aff_id_child	Inst	Affiliation
USA		A11118	Adler	Adler Planetarium, Illinois
USA		A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)
USA		A11151	Palmer Div	Palmer Divide Observatory, Colorado
USA		A11200	Malin	Malin Space Science Systems, California
USA		A11206	SRI Stanford	Stanford Research Institute, California
Belgium		A11245	Belgium Ast Ass	Belgium Astronomical Association
Luxembourg		A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg
France		A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites
France		A11269	Obs Blauvac	Observatoire de Blauvac, France
Germany		A11271	VdS	Vereinigung der Sternfreunde, Germany
Venezuela		A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela
Switzerland		A11285	SPACE X	SPACE X Exploration Institute, Switzerland
Switzerland		A11290	ISSI	International Space Science Institute, Switzerland
Switzerland		A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland
Norway		A11302	Norweg Geo Soc	Norwegian Geological Society
Norway		A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway
Portugal		A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal
Portugal		A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal
Spain		A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain
Spain		A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain
Spain		A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain
Spain		A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain
Spain		A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory
Spain		A11330	Catalan Phy Soc	Catalan Physics Society, Spain
Spain		A11335	FRACTAL SNLE	FRACTAL, SNLE
Croatia		A11338	Ast Soc Croatia	Astronomical Society of Croatia
Slovenia		A11341	Ast Soc Slovenia	Astronomical Society of Slovenia
Hungary		A11350	Hung Ast Ass	Hungarian Astronomical Association
Hungary		A11351	Bolyai Mil U	Bolyai Military University, Hungary
Romania		A11357	Bucharest Astroclub	Bucharest Astroclub, Romania
Czech Republic		A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic
Czech Republic		A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic
Czech Republic		A11367	Upice Obs	Upice Observatory, Czech Republic
Poland		A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
Poland		A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland
Poland		A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland
France		A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, Switzerland
Italy		A11390	EGO	European Gravitational Observatory, Pisa, Italy
Italy		A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy
Italy		A11413	Talmassons Obs	Talmassons Observatory, Italy
Italy		A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy
Italy		A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy
Italy		A11419	ISI Turin	Institute for Scientific Interchange, Italy
Italy		A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy
Greece		A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece
Cyprus		A11433	Cyprus Coll	Cyprus College, Nicosia
Ukraine		A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine
Belarus		A11451	Belarus St U	Belarus State University, Minsk
Belarus		A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belarus
Uzbekistan		A11458	Samarkand St U	Samarkand State University, Uzbekistan
Russia		A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia
Russia		A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia
Russia		A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia
Russia		A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia
Russia		A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia
Russia		A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia
Germany		A11484	AdW Potsdam	German Academy of Sciences, Potsdam
Belgium		A11487	IMO	International Meteor Organization
Germany		A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany
Germany		A11490	BAV	West German Variable Star Observers
Germany		A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany
Germany		A11508	M Adrian Obs	Michael Adrian Observatory, Germany
Iran		A11517	Geo Surv IR	Geological Survey of Iran
Iran		A11518	ISRC Baghdad	Iranian Space Research Center, Baghdad, Iran
Nepal		A11519	Nepal Ast Soc	Nepal Astronomical Society
Philippines		A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration
Indonesia		A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia
Indonesia		A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia
Thailand		A11534	ThEP	Thailand Center of Excellence in Physics
Vietnam		A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam
Serbia		A11543	Nikola Tesla U	Nikola Tesla University, Serbia
India		A11546	Assam Sci Soc	Assam Science Society, India
India		A11548	Gov New Sci Coll	Government New Science College, India
Korea		A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea
Korea		A11561	Korea Ast Obs	Korea Astronomy Observatory
China		A11573	Beijing Plan	Beijing Planetarium, China
Japan		A11577	Var Star Obs League	Variable Star Observers League of Japan
Japan		A11598	Kobe Sci Mus	Kobe Science Museum, Japan
Japan		A11615	Japan SpGuard Ass	Japan Spaceguard Association
Japan		A11630	JSUP	Japan Space Utilization Promotion Center
Japan		A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan
Japan		A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan
Japan		A11644	GRI Osaka	Geo Research Institute, Osaka, Japan
Japan		A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan
Japan		A11646	ALPO	Association for Lunar and Planetary Observers, Japan
Japan		A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan
