Parent	Child	Abbrev	Canonical Name
0	A11118	Adler	Adler Planetarium, Illinois
0	A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)
0	A11151	Palmer Div	Palmer Divide Observatory, Colorado
0	A11200	Malin	Malin Space Science Systems, California
0	A11206	SRI Stanford	Stanford Research Institute, California
0	A11245	Belgium Ast Ass	Belgium Astronomical Association
0	A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg
0	A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites
0	A11269	Obs Blauvac	Observatoire de Blauvac, France
0	A11271	VdS	Vereinigung der Sternfreunde, Germany
0	A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela
0	A11285	SPACE X	SPACE X Exploration Institute, Switzerland
0	A11290	ISSI	International Space Science Institute, Switzerland
0	A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland
0	A11302	Norweg Geo Soc	Norwegian Geological Society
0	A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway
0	A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal
0	A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal
0	A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain
0	A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain
0	A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain
0	A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain
0	A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory
0	A11330	Catalan Phy Soc	Catalan Physics Society, Spain
0	A11335	FRACTAL SNLE	FRACTAL, SNLE
0	A11338	Ast Soc Croatia	Astronomical Society of Croatia
0	A11341	Ast Soc Slovenia	Astronomical Society of Slovenia
0	A11350	Hung Ast Ass	Hungarian Astronomical Association
0	A11351	Bolyai Mil U	Bolyai Military University, Hungary
0	A11357	Bucharest Astroclub	Bucharest Astroclub, Romania
0	A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic
0	A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic
0	A11367	Upice Obs	Upice Observatory, Czech Republic
0	A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
0	A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland
0	A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland
0	A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, Switzerland
0	A11390	EGO	European Gravitational Observatory, Pisa, Italy
0	A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy
0	A11413	Talmassons Obs	Talmassons Observatory, Italy
0	A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy
0	A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy
0	A11419	ISI Turin	Institute for Scientific Interchange, Italy
0	A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy
0	A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece
0	A11433	Cyprus Coll	Cyprus College, Nicosia
0	A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine
